event_id,product,category,date,log_units,log_price,treat,post,event_week,week
E0000,FOOD_1_P1,FOOD_1,2020-06-29,4.939568845662396,0.8522001104145457,1,0,0,27
E0000,FOOD_1_P2,FOOD_1,2020-06-29,4.3185542117183084,1.0013301658615559,0,0,0,27
E0000,FOOD_1_P4,FOOD_1,2020-06-29,5.469830724625388,0.9177696377535542,0,0,0,27
E0000,FOOD_1_P5,FOOD_1,2020-06-29,5.060060177423779,0.9202030686940706,0,0,0,27
E0000,FOOD_1_P1,FOOD_1,2020-06-30,5.045487504863466,0.8577289808758901,1,0,0,27
E0000,FOOD_1_P2,FOOD_1,2020-06-30,4.4756308146331065,0.9981287500897874,0,0,0,27
E0000,FOOD_1_P4,FOOD_1,2020-06-30,5.380035592832894,0.9174900124496372,0,0,0,27
E0000,FOOD_1_P5,FOOD_1,2020-06-30,4.87862655117589,0.911881023385455,0,0,0,27
E0000,FOOD_1_P1,FOOD_1,2020-07-01,5.1535805700813535,0.8598473564509431,1,0,0,27
E0000,FOOD_1_P2,FOOD_1,2020-07-01,4.676187673223372,1.0010729594887686,0,0,0,27
E0000,FOOD_1_P4,FOOD_1,2020-07-01,5.241164835043728,0.915850635045751,0,0,0,27
E0000,FOOD_1_P5,FOOD_1,2020-07-01,4.819313355105002,0.9073307105026439,0,0,0,27
E0000,FOOD_1_P1,FOOD_1,2020-07-02,5.457242345535596,0.8675625657828026,1,0,0,27
E0000,FOOD_1_P2,FOOD_1,2020-07-02,4.683241721408247,0.9988287851201252,0,0,0,27
E0000,FOOD_1_P4,FOOD_1,2020-07-02,4.978043229495596,0.9190070393683835,0,0,0,27
E0000,FOOD_1_P5,FOOD_1,2020-07-02,4.58649692072247,0.9114389811431306,0,0,0,27
E0000,FOOD_1_P1,FOOD_1,2020-07-03,5.502808029363036,0.8684441224169355,1,0,0,27
E0000,FOOD_1_P2,FOOD_1,2020-07-03,4.482324355989245,1.0037520076441495,0,0,0,27
E0000,FOOD_1_P4,FOOD_1,2020-07-03,4.928122872521792,0.9174900124496372,0,0,0,27
E0000,FOOD_1_P5,FOOD_1,2020-07-03,4.804348859848469,0.8981674936144657,0,0,0,27
E0000,FOOD_1_P1,FOOD_1,2020-07-04,5.345534866157148,0.8623412814463992,1,0,0,27
E0000,FOOD_1_P2,FOOD_1,2020-07-04,4.292101927145895,1.0051437453431542,0,0,0,27
E0000,FOOD_1_P4,FOOD_1,2020-07-04,5.1282405361705194,0.9041776639903529,0,0,0,27
E0000,FOOD_1_P5,FOOD_1,2020-07-04,4.960113631748675,0.9006490358841981,0,0,0,27
E0000,FOOD_1_P1,FOOD_1,2020-07-05,5.025261146291576,0.8554785924773977,1,0,0,27
E0000,FOOD_1_P2,FOOD_1,2020-07-05,4.276249365519713,1.0016607625916594,0,0,0,27
E0000,FOOD_1_P4,FOOD_1,2020-07-05,5.285434740717023,0.8888784242638176,0,0,0,27
E0000,FOOD_1_P5,FOOD_1,2020-07-05,5.139321635057579,0.9059575277343637,0,0,0,27
E0000,FOOD_1_P1,FOOD_1,2020-07-06,4.924205566097868,0.863733481135479,1,0,1,28
E0000,FOOD_1_P2,FOOD_1,2020-07-06,4.311335894051113,0.9973175705165285,0,0,1,28
E0000,FOOD_1_P4,FOOD_1,2020-07-06,5.507240282222274,0.8952305141425065,0,0,1,28
E0000,FOOD_1_P5,FOOD_1,2020-07-06,5.127588355789889,0.9030433717885255,0,0,1,28
E0000,FOOD_1_P1,FOOD_1,2020-07-07,5.086422807411717,0.8723806407546667,1,0,1,28
E0000,FOOD_1_P2,FOOD_1,2020-07-07,4.458524605646606,0.9890949974287588,0,0,1,28
E0000,FOOD_1_P4,FOOD_1,2020-07-07,5.367516883349041,0.9013801191384009,0,0,1,28
E0000,FOOD_1_P5,FOOD_1,2020-07-07,4.883710600522589,0.9008927896940584,0,0,1,28
